Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-665LW25;151;151;71;92;121;665
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-735LW25;156;156;73;95;124;735
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-810LW25;161;161;75;97;128;810
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-170LW25;116;98;39;53;70;170
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-190LW25;121;103;41;55;72;190
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-215LW25;126;107;42;57;75;215
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-240LW25;131;111;43;59;78;240
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-270LW25;136;115;44;61;81;270
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-300LW25;141;119;46;63;83;300
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-330LW25;146;124;47;65;86;330
Protesi Mammarie;B-Lite;Microthane;Opticon;Moderato;30645-365LW25;151;128;48;67;89;365
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-210LW25;116;98;48;61;78;210
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-240LW25;121;103;50;63;81;240
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-270LW25;126;107;51;65;84;270
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-305LW25;131;111;53;68;87;305
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-340LW25;136;115;55;70;90;340
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-380LW25;141;119;56;72;93;380
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-420LW25;146;124;58;75;96;420
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-465LW25;151;128;60;77;99;465
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-510LW25;156;132;61;80;102;510
Protesi Mammarie;B-Lite;Microthane;Opticon;Alto;30646-560LW25;161;136;63;82;105;560
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-290LW25;121;103;59;71;89;290
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-325LW25;126;107;61;74;93;325
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-365LW25;131;111;63;77;96;365
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-410LW25;136;115;65;79;100;410
Protesi Mammarie;B-Lite;Microthane;Opticon;Extra Alto;30647-455LW25;141;119;67;82;103;455
