Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-315;118;118;51;68;89;315
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-350;123;123;53;71;93;350
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-395;128;128;55;73;96;395
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-445;133;133;57;76;100;445
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-495;138;138;59;78;103;495
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-550;143;143;61;81;107;550
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-605;148;148;63;83;110;605
Protesi Mammarie;SublimeLine;Microthane;Replicon;Alto;30736-670;153;153;64;86;114;670
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-130;83;83;47;56;71;130
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-160;88;88;49;59;75;160
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-185;93;93;51;62;79;185
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-220;98;98;53;65;83;220
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-255;103;103;55;67;87;255
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-290;108;108;57;70;90;290
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-330;113;113;59;73;94;330
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-380;118;118;61;76;98;380
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-425;123;123;63;79;102;425
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-480;128;128;65;82;105;480
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-535;133;133;67;84;109;535
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-600;138;138;69;87;113;600
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-665;143;143;71;90;117;665
Protesi Mammarie;SublimeLine;Microthane;Replicon;Extra Alto;30737-730;148;148;73;93;121;730
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-205;113;104;41;56;75;205
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-230;118;109;43;58;77;230
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-260;123;113;44;60;80;260
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-290;128;118;45;62;83;290
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-325;133;123;46;64;86;325
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-365;138;127;48;67;89;365
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-400;143;132;49;69;92;400
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-440;148;136;50;71;95;440
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-485;153;141;51;73;98;485
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Moderato;30755-535;158;146;53;75;101;535
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-255;113;104;50;63;82;255
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-285;118;109;52;66;86;285
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-325;123;113;53;68;89;325
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-365;128;118;55;71;92;365
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-405;133;123;57;73;96;405
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-455;138;127;58;76;99;455
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-505;143;132;60;78;102;505
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-555;148;136;62;81;106;555
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Alto;30756-615;153;141;63;83;109;615
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-230;103;95;55;66;83;230
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-270;108;100;57;69;87;270
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-310;113;104;59;71;91;310
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-345;118;109;61;74;94;345
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-390;123;113;63;77;98;390
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-440;128;118;65;80;102;440
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-495;133;123;67;83;105;495
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-550;138;127;69;85;109;550
Protesi Mammarie;SublimeLine;Microthane;Opticon Plus;Extra Alto;30757-610;143;132;71;88;113;610
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-120;108;91;31;44;60;120
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-140;113;95;31;46;62;140
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-160;118;100;32;48;65;160
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-175;123;104;33;49;67;175
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-200;128;108;34;51;70;200
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-220;133;112;35;53;72;220
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-240;138;116;36;55;75;240
Protesi Mammarie;SublimeLine;Microthane;Opticon;Basso;30744-270;143;121;37;56;77;270
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-125;98;83;37;49;61;125
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-145;103;87;38;51;64;145
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-165;108;91;39;53;67;165
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-185;113;95;40;55;70;185
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-210;118;100;42;57;72;210
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-235;123;104;43;59;75;235
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-265;128;108;45;61;78;265
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-295;133;112;46;63;81;295
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-330;138;116;47;65;83;330
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-365;143;121;49;67;86;365
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-400;148;125;50;69;89;400
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-445;153;129;51;71;92;445
Protesi Mammarie;SublimeLine;Microthane;Opticon;Moderato;30745-490;158;133;53;73;95;490
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-130;93;79;42;53;65;130
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-155;98;83;44;55;68;155
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-175;103;87;46;58;71;175
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-205;108;91;47;60;75;205
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-230;113;95;49;62;78;230
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-265;118;100;51;65;81;265
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-295;123;104;53;67;84;295
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-335;128;108;55;69;87;335
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-375;133;112;57;72;90;375
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-420;138;116;59;74;93;420
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-460;143;121;61;76;96;460
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-510;148;125;63;79;99;510
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-560;153;129;64;81;102;560
Protesi Mammarie;SublimeLine;Microthane;Opticon;Alto;30746-615;158;133;66;84;105;615
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-215;103;87;55;65;79;215
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-240;108;91;57;67;82;240
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-280;113;95;59;70;86;280
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-320;118;100;61;73;89;320
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-360;123;104;63;75;93;360
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-400;128;108;65;78;96;400
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-450;133;112;67;81;100;450
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-500;138;116;69;83;103;500
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-560;143;121;71;86;106;560
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-615;148;125;73;89;110;615
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-680;153;129;75;91;113;680
Protesi Mammarie;SublimeLine;Microthane;Opticon;Extra Alto;30747-750;158;133;77;94;117;750
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-205;108;98;42;83;83;205
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-235;112;102;44;86;86;235
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-260;116;106;46;90;90;260
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-290;120;110;48;93;93;290
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-320;124;114;50;97;97;320
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Alto;31641-360;128;118;52;100;100;360
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-215;104;94;48;86;86;215
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-245;108;98;50;90;90;245
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-285;112;102;52;93;93;285
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-305;116;106;54;97;97;305
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-335;120;110;56;100;100;335
Protesi Mammarie;Diagon\Gel;Microthane;Anatomical Oval;Extra Alto;31642-380;124;114;58;104;104;380
Espansori;Standard;POLYtxt;Replicon (Int. Magnet);Standard;46636-300;126;126;50;-;-;300
Espansori;Standard;POLYtxt;Replicon (Int. Magnet);Standard;46636-450;141;141;55;-;-;450
Espansori;Standard;POLYtxt;Replicon (Int. Magnet);Standard;46636-550;151;151;58;-;-;550
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-200;106;98;52;-;-;200
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-300;121;111;58;-;-;300
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-400;131;121;62;-;-;400
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-500;141;130;66;-;-;500
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-600;151;139;70;-;-;600
Espansori;Standard;POLYtxt;Opticon Plus (Int. Magnet);Standard;46657-700;156;144;72;-;-;700
Espansori;Standard;POLYtxt;Opticon (Int. Magnet);Standard;46646-250;126;106;50;-;-;250
Espansori;Standard;POLYtxt;Opticon (Int. Magnet);Standard;46646-450;151;127;58;-;-;450
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-200;96;96;48;-;-;200
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-300;111;111;54;-;-;300
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-400;121;121;58;-;-;400
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-500;131;131;62;-;-;500
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-600;136;136;64;-;-;600
Espansori;Standard;POLYtxt;Même Piccola (Int. Magnet);Standard;40627-700;146;146;68;-;-;700
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-160;51;38;110;-;-;160
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-200;50;70;60;-;-;200
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-250;59;50;96;-;-;250
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-320;62;47;141;-;-;320
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-400;55;56;136;-;-;400
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-500;69;51;158;-;-;500
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-600;50;70;180;-;-;600
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-700;50;50;280;-;-;700
Espansori;Standard;POLYsmoooth;Rettangolare (Int. Magnet);Standard;50680-800;87;57;185;-;-;800
Espansori;Standard;POLYsmoooth;Mezzaluna (Int. Magnet);Standard;50690-200;95;60;45;-;-;200
Espansori;Standard;POLYsmoooth;Mezzaluna (Int. Magnet);Standard;50690-300;110;70;60;-;-;300
Espansori;Standard;POLYsmoooth;Mezzaluna (Int. Magnet);Standard;50690-400;125;75;65;-;-;400
Espansori;Standard;POLYsmoooth;Mezzaluna (Int. Magnet);Standard;50690-700;150;90;75;-;-;700
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-200;101;101;50;-;-;200
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-300;116;116;56;-;-;300
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-400;126;126;60;-;-;400
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-500;136;136;64;-;-;500
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-600;146;146;68;-;-;600
Espansori;Standard;POLYtxt;Replicon (Remote);Standard;46637-700;151;151;70;-;-;700
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-200;111;93;54;-;-;200
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-300;126;106;60;-;-;300
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-350;131;110;62;-;-;350
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-400;136;114;64;-;-;400
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-500;146;123;68;-;-;500
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-550;151;127;70;-;-;550
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-600;156;131;72;-;-;600
Espansori;Standard;POLYtxt;Opticon (Remote);Standard;46647-700;161;135;74;-;-;700
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-100;76;76;40;-;-;100
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-200;96;96;48;-;-;200
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-300;111;111;54;-;-;300
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-400;121;121;58;-;-;400
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-500;131;131;62;-;-;500
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-600;136;136;64;-;-;600
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-700;146;146;68;-;-;700
Espansori;Standard;POLYtxt;Même (Remote);Standard;41627-800;151;151;70;-;-;800
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-050;38;38;38;-;-;50
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-100;46;53;60;-;-;100
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-160;51;38;110;-;-;160
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-200;50;70;60;-;-;200
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-250;59;50;96;-;-;250
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-320;62;47;141;-;-;320
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-400;55;56;136;-;-;400
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-500;69;51;158;-;-;500
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-600;50;70;180;-;-;600
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-700;50;50;280;-;-;700
Espansori;Standard;POLYsmoooth;Rettangolare (Remote);Standard;51680-800;87;57;185;-;-;800
Espansori;Standard;POLYsmoooth;Mezzaluna (Remote);Standard;51690-200;95;60;45;-;-;200
Espansori;Standard;POLYsmoooth;Mezzaluna (Remote);Standard;51690-300;110;70;60;-;-;300
Espansori;Standard;POLYsmoooth;Mezzaluna (Remote);Standard;51690-400;125;75;65;-;-;400
Espansori;Standard;POLYsmoooth;Mezzaluna (Remote);Standard;51690-700;150;90;75;-;-;700
Altri (Corpo);Glutei;MESMO;Ovali Post. Concavo;Ovale;15300-115;80;120;27;-;-;115
Altri (Corpo);Glutei;MESMO;Ovali Post. Concavo;Ovale;15300-215;105;142;30;-;-;215
Altri (Corpo);Glutei;MESMO;Ovali Post. Concavo;Ovale;15300-290;114;152;33;-;-;290
Altri (Corpo);Glutei;MESMO;Ovali Post. Concavo;Ovale;15300-360;125;163;34;-;-;360
Altri (Corpo);Glutei;MESMO;Ovali Post. Concavo;Ovale;15300-450;132;174;38;-;-;450
Altri (Corpo);Glutei;MESMO;Ovali Post. Planare;Ovale;15300-240;90;130;40;-;-;240
Altri (Corpo);Glutei;MESMO;Ovali Post. Planare;Ovale;15300-305;95;139;45;-;-;305
Altri (Corpo);Glutei;MESMO;Ovali Post. Planare;Ovale;15300-365;100;148;48;-;-;365
Altri (Corpo);Glutei;MESMO;Ovali Post. Planare;Ovale;15300-420;109;152;50;-;-;420
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Concavo;Rotonda;10301-200;107;107;35;-;-;200
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Concavo;Rotonda;10301-250;112;112;41;-;-;250
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Concavo;Rotonda;10301-300;118;118;44;-;-;300
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Concavo;Rotonda;10301-360;127;127;43;-;-;360
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Concavo;Rotonda;10301-500;141;141;49;-;-;500
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Planare;Rotonda;10301-225;107;107;35;-;-;225
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Planare;Rotonda;10301-275;112;112;41;-;-;275
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Planare;Rotonda;10301-340;118;118;44;-;-;340
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Planare;Rotonda;10301-390;128;128;44;-;-;390
Altri (Corpo);Glutei;POLYsmoooth;Rotonde Post. Planare;Rotonda;10301-560;141;141;49;-;-;560
Altri (Corpo);Testicoli;POLYsmoooth;Testicoli;Normale;10100-005;20;22;-;-;-;5
Altri (Corpo);Testicoli;POLYsmoooth;Testicoli;Normale;10100-012;26;33;-;-;-;12
Altri (Corpo);Testicoli;POLYsmoooth;Testicoli;Normale;10100-021;42;32;-;-;-;21
Altri (Corpo);Testicoli;POLYsmoooth;Testicoli;Normale;10100-027;33;48;-;-;-;27
Altri (Corpo);Testicoli;POLYsmoooth;Testicoli;Normale;10100-036;50;39;-;-;-;36
Altri (Corpo);Pettorali;MESMO;Pettorali Sinistro;Rettangolare;15500-190L;147;102;24;-;-;190
Altri (Corpo);Pettorali;MESMO;Pettorali Sinistro;Rettangolare;15500-230L;160;107;27;-;-;230
Altri (Corpo);Pettorali;MESMO;Pettorali Sinistro;Rettangolare;15500-300L;169;116;29;-;-;300
Altri (Corpo);Pettorali;MESMO;Pettorali Destro;Rettangolare;15500-190R;147;102;24;-;-;190
Altri (Corpo);Pettorali;MESMO;Pettorali Destro;Rettangolare;15500-230R;160;107;27;-;-;230
Altri (Corpo);Pettorali;MESMO;Pettorali Destro;Rettangolare;15500-300R;169;116;29;-;-;300
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-012;21;62;12;-;-;16
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-030;30;102;19;-;-;30
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-070;33;157;25;-;-;70
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-090;32;195;23;-;-;90
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-120;34;268;25;-;-;120
Altri (Corpo);Polpacci;POLYsmoooth;Simmetrica;Fusiforme;10200-140;44;262;25;-;-;140
Altri (Corpo);Polpacci;POLYsmoooth;Anatomica;Fusiforme;10201-085;47;151;24;-;-;85
Altri (Corpo);Polpacci;POLYsmoooth;Anatomica;Fusiforme;10201-140;54;197;25;-;-;140
Altri (Corpo);Polpacci;POLYsmoooth;Anatomica;Fusiforme;10201-180;58;231;26;-;-;180
;;;;;;;;;;;
```;;;;;;;;;;;
