LINEA;SUPERFICIE;PROFILO;ALTEZZA;VOLUME (CC);LARGHEZZA/DIAMETRO (cm);ALTEZZA (cm);PROIEZIONE (cm);ARCO (cm);CODICE PRODOTTO;SIZER GEL;COESIVITA';
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;125;8.9;-;2.8;-;3501251BC;RSZ1251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;150;9.5;-;2.9;-;3501501BC;RSZ1501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;175;10;-;3.1;-;3501751BC;RSZ1751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;200;10.5;-;3.2;-;3502001BC;RSZ2001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;225;10.9;-;3.3;-;3502251BC;RSZ2251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;250;11.3;-;3.4;-;3502501BC;RSZ2501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;275;11.7;-;3.5;-;3502751BC;RSZ2751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;300;12;-;3.6;-;3503001BC;RSZ3001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;325;12.3;-;3.8;-;3503251BC;RSZ3251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;350;12.5;-;3.9;-;3503501BC;RSZ3501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;375;12.8;-;4;-;3503751BC;RSZ3751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;400;13.1;-;4;-;3504001BC;RSZ4001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;450;13.6;-;4.2;-;3504501BC;RSZ4501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;500;14.1;-;4.3;-;3505001BC;RSZ5001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;550;14.6;-;4.5;-;3505501BC;RSZ5501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;600;15;-;4.6;-;3506001BC;RSZ6001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;700;15.8;-;4.9;-;3507001BC;RSZ7001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;800;16.5;-;5.1;-;3508001BC;RSZ8001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;125;8.3;-;3.5;-;3501254BC;RSZ1254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;150;8.8;-;3.7;-;3501504BC;RSZ1504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;175;9.3;-;3.9;-;3501754BC;RSZ1754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;200;9.7;-;4;-;3502004BC;RSZ2004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;225;10.1;-;4.2;-;3502254BC;RSZ2254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;250;10.5;-;4.3;-;3502504BC;RSZ2504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;275;10.8;-;4.4;-;3502754BC;RSZ2754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;300;11.1;-;4.5;-;3503004BC;RSZ3004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;325;11.4;-;4.6;-;3503254BC;RSZ3254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;350;11.7;-;4.8;-;3503504BC;RSZ3504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;375;12;-;4.8;-;3503754BC;RSZ3754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;400;12.2;-;5;-;3504004BC;RSZ4004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;425;12.5;-;5;-;3504254BC;RSZ4254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;450;12.8;-;5.1;-;3504504BC;RSZ4504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;500;13.2;-;5.3;-;3505004BC;RSZ5004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;550;13.6;-;5.5;-;3505504BC;RSZ5504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;600;14;-;5.6;-;3506004BC;RSZ6004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;650;14.4;-;5.7;-;3506504BC;RSZ6504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;700;14.8;-;5.8;-;3507004BC;RSZ7004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;800;15.5;-;6;-;3508004BC;RSZ8004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;135;7.8;-;4.1;-;3505135BC;RSZ5135;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;160;8.2;-;4.3;-;3505160BC;RSZ5160;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;185;8.4;-;4.4;-;3505185BC;RSZ5185;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;215;8.7;-;4.5;-;3505215BC;RSZ5215;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;240;9;-;4.7;-;3505240BC;RSZ5240;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;270;9.3;-;4.8;-;3505270BC;RSZ5270;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;295;9.7;-;5;-;3505295BC;RSZ5295;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;320;9.8;-;5.1;-;3505320BC;RSZ5320;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;350;10.1;-;5.2;-;3505350BC;RSZ5350;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;375;10.4;-;5.3;-;3505375BC;RSZ5375;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;400;10.6;-;5.4;-;3505400BC;RSZ5400;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;430;10.9;-;5.6;-;3505430BC;RSZ5430;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;455;11.2;-;5.7;-;3505455BC;RSZ5455;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;480;11.4;-;5.8;-;3505480BC;RSZ5480;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;535;12;-;6.1;-;3505535BC;RSZ5535;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;590;12.5;-;6.3;-;3505590BC;RSZ5590;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;100;8.1;-;2.7;-;3541001;-;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;125;8.8;-;2.9;-;3541251;RSZ1251;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;150;9.4;-;3;-;3541501;RSZ1501;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;175;10;-;3.2;-;3541751;RSZ1751;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;200;10.5;-;3.3;-;3542001;RSZ2001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;225;10.9;-;3.5;-;3542251;RSZ2251;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;250;11.3;-;3.6;-;3542501;RSZ2501;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;275;11.7;-;3.7;-;3542751;RSZ2751;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;300;12;-;3.7;-;3543001;RSZ3001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;325;12.3;-;3.8;-;3543251;RSZ3251;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;350;12.6;-;3.8;-;3543501;RSZ3501;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;375;12.9;-;3.9;-;3543751;RSZ3751;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;400;13.2;-;4;-;3544001;RSZ4001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;450;13.7;-;4.1;-;3544501;RSZ4501;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;500;14.1;-;4.2;-;3545001;RSZ5001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;550;14.4;-;4.4;-;3545501;RSZ5501;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;600;14.7;-;4.5;-;3546001;RSZ6001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;700;15.7;-;4.8;-;3547001;RSZ7001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;800;16.6;-;5;-;3548001;RSZ8001;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;125;8.4;-;3.6;-;3544125;RSZ1254;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;150;8.9;-;3.8;-;3544150;RSZ1504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;175;9.4;-;4;-;3544175;RSZ1754;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;200;9.9;-;4.1;-;3544200;RSZ2004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;225;10.2;-;4.3;-;3544225;RSZ2254;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;250;10.5;-;4.5;-;3544250;RSZ2504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;275;10.9;-;4.6;-;3544275;RSZ2754;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;300;11.1;-;4.7;-;3544300;RSZ3004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;325;11.5;-;4.8;-;3544325;RSZ3254;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;350;11.7;-;4.9;-;3544350;RSZ3504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;375;12;-;5;-;3544375;RSZ3754;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;400;12.3;-;5.1;-;3544400;RSZ4004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;425;12.5;-;5.2;-;3544425;RSZ4254;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;450;12.7;-;5.2;-;3544450;RSZ4504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;500;13.2;-;5.4;-;3544500;RSZ5004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;550;13.5;-;5.6;-;3544550;RSZ5504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;600;14;-;5.7;-;3544600;RSZ6004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;650;14.3;-;5.8;-;3544650;RSZ6504;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;700;14.7;-;6;-;3544700;RSZ7004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;800;15.4;-;6.3;-;3544800;RSZ8004;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;135;8;-;4.3;-;3545135;RSZ5135;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;160;8.4;-;4.5;-;3545160;RSZ5160;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;185;8.6;-;4.6;-;3545185;RSZ5185;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;215;8.9;-;4.7;-;3545215;RSZ5215;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;240;9.2;-;4.9;-;3545240;RSZ5240;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;270;9.5;-;5;-;3545270;RSZ5270;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;295;9.9;-;5.2;-;3545295;RSZ5295;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;320;10;-;5.3;-;3545320;RSZ5320;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;350;10.3;-;5.4;-;3545350;RSZ5350;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;375;10.5;-;5.5;-;3545375;RSZ5375;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;400;10.8;-;5.6;-;3545400;RSZ5400;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;430;11.1;-;5.8;-;3545430;RSZ5430;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;455;11.3;-;5.9;-;3545455;RSZ5455;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;480;11.6;-;6;-;3545480;RSZ5480;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;535;12.1;-;6.3;-;3545535;RSZ5535;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Ultra Alto;Rotonda;590;12.6;-;6.5;-;3545590;RSZ5590;Coesivo I;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;125;8.8;-;2.9;-;3245125;RSZ1251;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;150;9.4;-;3;-;3245150;RSZ1501;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;175;10;-;3.2;-;3245175;RSZ1751;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;200;10.5;-;3.3;-;3245200;RSZ2001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;225;10.9;-;3.5;-;3245225;RSZ2251;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;250;11.3;-;3.6;-;3245250;RSZ2501;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;275;11.7;-;3.7;-;3245275;RSZ2751;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;300;12;-;3.7;-;3245300;RSZ3001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;325;12.3;-;3.8;-;3245325;RSZ3251;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;350;12.6;-;3.8;-;3245350;RSZ3501;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;375;12.9;-;3.9;-;3245375;RSZ3751;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;400;13.2;-;4;-;3245400;RSZ4001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;450;13.7;-;4.1;-;3245450;RSZ4501;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;500;14.1;-;4.2;-;3245500;RSZ5001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;550;14.4;-;4.4;-;3245550;RSZ5501;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;600;14.7;-;4.5;-;3245600;RSZ6001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;700;15.7;-;4.8;-;3245700;RSZ7001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Moderato Plus;Rotonda;800;16.6;-;5;-;3245800;RSZ8001;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;125;8.4;-;3.6;-;3244125;RSZ1254;Coesivo II;
Protesi Rotonde SILTEX®;SILTEX® Microtesturizzate;Alto;Rotonda;150;8.9;-;3.8;-;3244150;RSZ1504;Coesivo II;
